title,location,deposit,rent,link,deposit_num,rent_num,deposit_million,rent_million
خوابگاه پانسیون دخترانه رویال باران,مشاور رویال باران در قلهک,"ودیعه: ۲,۰۰۰,۰۰۰ تومان","اجاره: ۳,۴۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D9%88%D8%A7%D8%A8%DA%AF%D8%A7%D9%87-%D9%BE%D8%A7%D9%86%D8%B3%DB%8C%D9%88%D9%86-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D8%B1%D9%88%DB%8C%D8%A7%D9%84-%D8%A8%D8%A7%D8%B1%D8%A7%D9%86/AaVUfVXb,2000000,3400000,2.0,3.4
خوابگاه پانسیون دخترانه رویال باران,مشاور رویال باران در ظفر,"ودیعه: ۳,۰۰۰,۰۰۰ تومان","اجاره: ۳,۵۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D9%88%D8%A7%D8%A8%DA%AF%D8%A7%D9%87-%D9%BE%D8%A7%D9%86%D8%B3%DB%8C%D9%88%D9%86-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D8%B1%D9%88%DB%8C%D8%A7%D9%84-%D8%A8%D8%A7%D8%B1%D8%A7%D9%86/AaVkfG9F,3000000,3500000,3.0,3.5
اجاره خانه ویلایی ۲۲۰ متری ۸خوابه در بازار,نیم ساعت پیش در بازار,"ودیعه: ۶۸۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B2%DB%B2%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B8%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1/AaxQbcT7,680000000,100000,680.0,0.1
خوابگاه دخترانه ولی امکانات هتل,مشاور رویال باران در شهرک غرب,"ودیعه: ۲۰,۰۰۰,۰۰۰ تومان","اجاره: ۱۲,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%AE%D9%88%D8%A7%D8%A8%DA%AF%D8%A7%D9%87-%D8%AF%D8%AE%D8%AA%D8%B1%D8%A7%D9%86%D9%87-%D9%88%D9%84%DB%8C-%D8%A7%D9%85%DA%A9%D8%A7%D9%86%D8%A7%D8%AA-%D9%87%D8%AA%D9%84/AaxIrRZs,20000000,12000000,20.0,12.0
رهن خانه ویلایی دربستی,نیم ساعت پیش در گلچین,"ودیعه: ۶۸۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/%D8%B1%D9%87%D9%86-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%D8%AF%D8%B1%D8%A8%D8%B3%D8%AA%DB%8C/AaxM7mnS,680000000,0,680.0,0.0
اجاره خانه ویلایی کلنگی,در شادآباد,"ودیعه: ۳۰۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DA%A9%D9%84%D9%86%DA%AF%DB%8C/AafAwI5-,300000000,0,300.0,0.0
رهن خانه ویلایی ۶۰ متری ۲ خوابه در یاخچی‌آباد,نیم ساعت پیش در یاخچی‌آباد,"ودیعه: ۳۷۰,۰۰۰,۰۰۰ تومان",رهن کامل,https://divar.ir/v/%D8%B1%D9%87%D9%86-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B6%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%DB%8C%D8%A7%D8%AE%DA%86%DB%8C-%D8%A2%D8%A8%D8%A7%D8%AF/AaxIrgGP,370000000,0,370.0,0.0
اجاره دو طبقه از خانه ویلایی,در خلیج فارس,"ودیعه: ۴۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۶,۵۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AF%D9%88-%D8%B7%D8%A8%D9%82%D9%87-%D8%A7%D8%B2-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C/Aac4X9Fu,400000000,6500000,400.0,6.5
اجاره خانه ویلایی ۴۰ متری ۲ خوابه در استخر,۱ ساعت پیش در استخر,"ودیعه: ۵۰۰,۰۰۰,۰۰۰ تومان","اجاره: ۵,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%AE%D8%A7%D9%86%D9%87-%D9%88%DB%8C%D9%84%D8%A7%DB%8C%DB%8C-%DB%B4%DB%B0-%D9%85%D8%AA%D8%B1%DB%8C-%DB%B2-%D8%AE%D9%88%D8%A7%D8%A8%D9%87-%D8%AF%D8%B1-%D8%A7%D8%B3%D8%AA%D8%AE%D8%B1/AaxAbCeS,500000000,5000000,500.0,5.0
اجاره زیرزمین مسکونی,۱ ساعت پیش در شمیران‌نو,"ودیعه: ۶۰,۰۰۰,۰۰۰ تومان","اجاره: ۷,۰۰۰,۰۰۰ تومان",https://divar.ir/v/%D8%A7%D8%AC%D8%A7%D8%B1%D9%87-%D8%B2%DB%8C%D8%B1%D8%B2%D9%85%DB%8C%D9%86-%D9%85%D8%B3%DA%A9%D9%88%D9%86%DB%8C/Aax8akpl,60000000,7000000,60.0,7.0
