عنوان,مساحت,ودیعه,اجاره,موقعیت
همخونه همخانه نیازمندم,,۵۰۰۰۰۰۰۰,۶۰۰۰۰۰۰,در دکتر هوشیار
اجاره مشترک (همخونه),,۱۰۰۰۰۰۰,۱۰۰۰۰۰,در استاد معین
اجاره آپارتمان ۴۴ متری ۱ خوابه طبقه ۲ در جیحون,44.0,۱۰۰۰۰۰۰۰۰,۱۴۰۰۰۰۰۰,دقایقی پیش در جیحون
۵۵ متر فول امکانات گذر ۱۰ متری بر اصلی,55.0,۶۰۰۰۰۰۰۰۰,,دپارتمان کاوه در جی
اجاره آپارتمان ۵۸ متری ۱ خوابه در طوس,58.0,۷۰۰۰۰۰۰۰۰,۱۴۰۰۰۰۰۰,دقایقی پیش در دکتر هوشیار
60متر\u002F تک واحدی با پارکینگ\u002F۱۳ متری,60.0,۵۰۰۰۰۰۰۰۰,۳۰۰۰۰۰۰,دقایقی پیش در جی
بهنود یادگارطوس(نوساز)۱۰۶متر,106.0,۵۰۰۰۰۰۰۰۰,۲۵۰۰۰۰۰۰,در جیحون
۶۶متر\u002Fدوخواب\u002Fتکواحدی\u002Fآسانسور\u002Fبوستان,66.0,۳۵۰۰۰۰۰۰۰,۱۵۰۰۰۰۰۰,دقایقی پیش در آذربایجان
۴۳متر \u002Fهمکف \u002Fفول بازسازی \u002F غرق نور,43.0,۲۵۰۰۰۰۰۰۰,۴۰۰۰۰۰۰,آژانس امید در سلیمانی
۷۰ متر ۲ خواب \u002F تک واحدی,70.0,۴۰۰۰۰۰۰۰۰,۵۰۰۰۰۰۰,مشاورین املاک احمدزاده  در هفت چنار
۵۲متر طبقه اول تک واحد طوس قصرالدشت,52.0,۳۰۰۰۰۰۰۰۰,۱۰۰۰۰۰۰۰,دقایقی پیش در سلسبیل
۱۰۵متر\u002F۳ خواب\u002F فول‌امکانات\u002F استادمعین,105.0,۱۴۰۰۰۰۰۰۰۰,,مشاورین املاک بزرگ برج در استاد معین
اجاره آپارتمان ۶۵متری ۱ خوابه در دکتر هوشیار,65.0,۳۰۰۰۰۰۰۰۰,۱۵۰۰۰۰۰۰,مشاور اسدی در دکتر هوشیار
