عنوان,مساحت,ودیعه,اجاره,موقعیت
خانه دربستی چهار خوابه,,۷۰۰۰۰۰۰۰۰,۵۲۰۰۰۰۰,در نواب
۱۰۰ متر ۳ طبقه \u002Fخ آزادی جنب مترو توحید \u002Fپارکینگ,100.0,۵۰۰۰۰۰۰۰۰,۶۵۰۰۰۰۰۰,آژانس املاک بزرگ سناتور با ۲شعبه فعال در جیحون
خانه ویلایی ۲۵۰ متر,250.0,۴۰۰۰۰۰۰۰۰,۵۰۰۰۰۰۰۰,دقایقی پیش در استاد معین
100 متری \u002Fدر بستی\u002F,100.0,۷۵۰۰۰۰۰۰۰,۱۰۰۰۰۰,آژانس امید در هفت چنار
واحد دربست خانه 100متری دو طبقه  جیحون سپه,100.0,۳۵۰۰۰۰۰۰۰,۲۸۰۰۰۰۰۰,املاک بزرگ نهال در جیحون
اجاره خانه ویلایی ۷۰ متری ۳ خوابه در جیحون,70.0,۴۵۰۰۰۰۰۰۰,۶۰۰۰۰۰۰,آژانس املاک دریا در جیحون
خانه نقلی۲۵ متری ۲طبقه دربست خانواده مجرد,25.0,۳۹۰۰۰۰۰۰۰,۱۰۰۰۰۰,۲ ساعت پیش در هاشمی
اجاره خانه ویلایی ۱۲۰ متری ۵ خوابه در جی,120.0,۴۰۰۰۰۰۰۰۰,۱۸۰۰۰۰۰۰,۲ ساعت پیش در جی
اجاره خانه ویلایی ۴۰ متری ۲ خوابه در استاد معین,40.0,۲۱۰۰۰۰۰۰۰,۱۰۰۰۰۰۰۰,۳ ساعت پیش در استاد معین
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,۲۰۰۰۰۰۰,۷۵۰۰۰۰۰,۴ ساعت پیش در سلسبیل
۱۲۰متر چهار خواب خوش نرسیده به طوس,120.0,۶۰۰۰۰۰۰۰۰,۲۰۰۰۰۰۰۰,املاک کاندید در آذربایجان
خوابگاه پسرانه بدونه پول پیش,,,۳۰۰۰۰۰۰,در سلسبیل
۱۰۰ متر\u002Fکلنگی\u002Fسینا غربی\u002Fمترو کمیل\u002F,100.0,۵۱۰۰۰۰۰۰۰,,آژانس طاها در نواب
150 متر فول بازسازی کمیل شیرازی,150.0,۱۲۳۰۰۰۰۰۰۰,,۵ ساعت پیش در هفت چنار
۲ طبقه کاملا مجزا . دربستی . بازسازی شده,,۱۰۰۰۰۰۰۰۰,۲۸۰۰۰۰۰۰,آژانس مشاورین املاک طهرانی در سلسبیل
۱۵۰ متر واحد دربستی در ۲ طبقه کاملا مجزا . با حیاط,150.0,۷۰۰۰۰۰۰۰۰,۸۵۰۰۰۰۰,آژانس مشاورین املاک طهرانی در هفت چنار
ویلایی ۳۰۰ متری ۵ خوابه در نزدیک مترو شادمان,300.0,۱۷۰۰۰۰۰۰۰۰,۱۰۰۰۰۰,آژانس املاک بزرگ سناتور با ۲شعبه فعال در جیحون
۲طبقه دربست ۵۰ متری سرویس کامل مرتضوی جیحون,50.0,۵۷۰۰۰۰۰۰۰,,مسکن بزرگ فدک در جیحون
خانه دربستی دوطبقه مستقل بریانک غربی,,۵۰۰۰۰۰۰۰۰,۸۰۰۰۰۰۰,مشاور پیمان غفاری در بریانک
دربستی\u002Fدونیم طبقه,,۸۰۰۰۰۰۰۰۰,۱۵۰۰۰۰۰۰,آژانس املاک شاهان در استاد معین
دربستی ۲ طبقه\u002Fجیحون بین طوس و دامپزشکی,,۷۵۰۰۰۰۰۰۰,,آژانس نایب در زنجان
۱۲۰ متر دربستی دوطبقه بریانک,120.0,۸۵۰۰۰۰۰۰۰,۱۰۰۰۰۰,در بریانک
سوییت ۴۰ متری مجرد,40.0,۴۰۰۰۰۰۰۰,۸۵۰۰۰۰۰,۹ ساعت پیش در دکتر هوشیار
اجاره خانه ویلایی ۱۰ متری ۱ خوابه در استاد معین,10.0,,۵۰۰۰۰۰۰,۱۹ ساعت پیش در استاد معین
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,۱۰۰۰۰۰۰,۲۰۰۰۰۰۰,۲۰ ساعت پیش در سلسبیل
رهن و اجاره ویلا، خانه ویلایی و باغ ویلا در زنجان و ۱۱ محلهٔ دیگر تهران | دیوار,,,,
۱۰۰ متر ۳ طبقه \u002Fخ آزادی جنب مترو توحید \u002Fپارکینگ,100.0,,,
خانه ویلایی ۲۵۰ متر,250.0,,,
100 متری \u002Fدر بستی\u002F,100.0,,,
واحد دربست خانه 100متری دو طبقه  جیحون سپه,100.0,,,
اجاره خانه ویلایی ۷۰ متری ۳ خوابه در جیحون,70.0,,,
خانه نقلی۲۵ متری ۲طبقه دربست خانواده مجرد,25.0,,,
اجاره خانه ویلایی ۱۲۰ متری ۵ خوابه در جی,120.0,,,
اجاره خانه ویلایی ۴۰ متری ۲ خوابه در استاد معین,40.0,,,
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,,,
۱۲۰متر چهار خواب خوش نرسیده به طوس,120.0,,,
خوابگاه پسرانه بدونه پول پیش,,,,
۱۰۰ متر\u002Fکلنگی\u002Fسینا غربی\u002Fمترو کمیل\u002F,100.0,,,
150 متر فول بازسازی کمیل شیرازی,150.0,,,
۲ طبقه کاملا مجزا . دربستی . بازسازی شده,,,,
۱۵۰ متر واحد دربستی در ۲ طبقه کاملا مجزا . با حیاط,150.0,,,
ویلایی ۳۰۰ متری ۵ خوابه در نزدیک مترو شادمان,300.0,,,
۲طبقه دربست ۵۰ متری سرویس کامل مرتضوی جیحون,50.0,,,
خانه دربستی دوطبقه مستقل بریانک غربی,,,,
دربستی\u002Fدونیم طبقه,,,,
دربستی ۲ طبقه\u002Fجیحون بین طوس و دامپزشکی,,,,
۱۲۰ متر دربستی دوطبقه بریانک,120.0,,,
سوییت ۴۰ متری مجرد,40.0,,,
اجاره خانه ویلایی ۱۰ متری ۱ خوابه در استاد معین,10.0,,,
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,,,
فیلترها,,,,
محله,,,,
حداقل,,,,
حداکثر,,,,
ودیعه,,,,
حداقل,,,,
حداکثر,,,,
اجاره,,,,
از,,,,
تا,,,,
متراژ,,,,
تعداد اتاق‌ها,,,,
حداقل,,,,
حداکثر,,,,
سن بنا,,,,
ویدیو‌دار,,,,
دارای عکس از ملک,,,,
امکانات تصویری آگهی,,,,
با پارکینگ,,,,
با بالکن,,,,
با انباری,,,,
بازسازی شده,,,,
ویژگی‌ها و امکانات,,,,
جهت ساختمان,,,,
سرمایش,,,,
گرمایش,,,,
جنس کف,,,,
سرویس بهداشتی,,,,
تأمین‌کننده آب گرم,,,,
آگهی‌دهنده,,,,
زمان انتشار آگهی,,,,
افزونه‌ها,,,,
همه‌ی شهرها,,,,
۱۰۰ متر ۳ طبقه /خ آزادی جنب مترو توحید /پارکینگ,100.0,,,
خانه ویلایی ۲۵۰ متر,250.0,,,
100 متری /در بستی/,100.0,,,
واحد دربست خانه 100متری دو طبقه  جیحون سپه,100.0,,,
اجاره خانه ویلایی ۷۰ متری ۳ خوابه در جیحون,70.0,,,
خانه نقلی۲۵ متری ۲طبقه دربست خانواده مجرد,25.0,,,
اجاره خانه ویلایی ۱۲۰ متری ۵ خوابه در جی,120.0,,,
اجاره خانه ویلایی ۴۰ متری ۲ خوابه در استاد معین,40.0,,,
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,,,
۱۲۰متر چهار خواب خوش نرسیده به طوس,120.0,,,
خوابگاه پسرانه بدونه پول پیش,,,,
۱۰۰ متر/کلنگی/سینا غربی/مترو کمیل/,100.0,,,
150 متر فول بازسازی کمیل شیرازی,150.0,,,
۲ طبقه کاملا مجزا . دربستی . بازسازی شده,,,,
۱۵۰ متر واحد دربستی در ۲ طبقه کاملا مجزا . با حیاط,150.0,,,
ویلایی ۳۰۰ متری ۵ خوابه در نزدیک مترو شادمان,300.0,,,
۲طبقه دربست ۵۰ متری سرویس کامل مرتضوی جیحون,50.0,,,
خانه دربستی دوطبقه مستقل بریانک غربی,,,,
دربستی/دونیم طبقه,,,,
دربستی ۲ طبقه/جیحون بین طوس و دامپزشکی,,,,
۱۲۰ متر دربستی دوطبقه بریانک,120.0,,,
سوییت ۴۰ متری مجرد,40.0,,,
اجاره خانه ویلایی ۱۰ متری ۱ خوابه در استاد معین,10.0,,,
اجاره خانه ویلایی ۱۲ متری ۱ خوابه در سلسبیل,12.0,,,
